daded,momed,sinmom14,black,wage,iqscore,exp,ed
9.94,6,yes,no,457,75,8,12
5,5,no,no,438,95,9,12
9.94,5,yes,yes,550,102,9,12
12,16,no,no,650,107,3,16
7,3,no,no,423,86,9,11
18,8,no,no,420,104,8,13
5,7,no,no,714,95,12,12
12,8,no,no,398,116,7,12
6,8,no,no,398,66,14,9
5,0,no,no,734,101,6,16
12,12,no,no,688,96,7,12
9.94,9,no,no,455,104,13,12
9.94,16,yes,no,577,138,6,16
10,14,no,no,699,105,9,16
14,12,no,no,375,106,5,16
11,4,no,yes,220,67,11,12
12,10,no,yes,341,97,4,16
8,9,no,no,288,108,10,15
8,13,no,no,866,125,6,18
7,8,no,no,433,106,7,12
4,6,no,no,400,99,11,12
12,12,no,no,547,96,14,12
10,12,no,no,500,114,5,14
9,12,no,no,600,105,11,12
2,3,no,no,650,106,16,12
8,8,no,no,848,102,14,12
9.94,10.25,no,yes,289,75,15,12
5,5,no,yes,457,99,4,14
11,12,no,no,413,90,15,13
9.94,16,yes,yes,649,101,3,16
9.94,10.25,no,no,633,115,7,13
10,12,no,no,721,118,6,16
12,9,no,no,913,108,14,12
12,12,no,no,592,127,3,18
9.94,12,no,no,764,114,10,16
11,10,no,yes,275,76,8,11
12,16,no,no,962,132,6,16
9.94,3,yes,yes,625,50,10,12
9.94,10.25,yes,yes,333,84,8,12
9.94,10,no,yes,625,55,11,12
9.94,10.25,no,yes,359,73,16,12
9.94,10.25,no,yes,403,61,6,12
9,9,no,yes,463,84,9,11
9.94,10.25,no,yes,400,71,7,14
9.94,10.25,no,yes,415,84,2,16
9.94,10.25,no,no,1442,101,9,18
10,12,no,yes,266,69,6,13
9.94,10.25,no,yes,325,80,9,11
9.94,9,no,no,214,69,13,10
9,12,no,no,688,104,10,12
6,10,no,no,457,92,16,10
13,10.25,no,yes,732,102,3,16
6,10,no,yes,481,83,10,12
6,10,no,yes,642,98,8,12
7,10,no,yes,573,70,9,10
9.94,10.25,no,yes,339,90,7,12
10,4,no,no,400,87,7,13
9.94,12,no,no,300,96,3,15
10,12,no,no,580,80,18,10
8,12,no,no,321,102,4,14
2,10.25,no,yes,475,79,8,12
10,12,no,no,553,104,7,16
8,9,no,no,721,104,7,18
8,12,no,no,729,101,6,13
5,8,no,no,314,115,7,12
7,10,no,yes,769,96,3,16
12,11,no,no,626,99,8,12
18,12,no,no,803,112,7,16
18,12,no,no,447,118,3,16
12,9,no,no,319,83,7,15
12,12,no,no,616,107,8,16
13,12,no,no,354,91,10,12
18,12,no,no,425,96,4,18
18,12,no,no,265,89,8,12
13,13,no,no,426,118,4,14
13,10,no,no,250,113,7,12
12,12,no,no,560,116,2,17
7,7,no,no,289,105,11,12
7,7,no,no,393,120,4,16
6,7,no,no,577,107,8,12
12,11,no,no,346,94,9,17
12,12,no,no,1282,98,6,16
12,16,no,no,413,96,4,14
4,7,no,no,404,84,7,14
3,7,no,no,721,108,13,12
3,8,no,no,577,104,12,12
6,8,no,no,500,110,8,12
7,6,no,no,250,96,11,12
7,7,no,no,155,106,8,12
9.94,3,yes,yes,350,83,15,12
9.94,10.25,no,yes,462,66,8,12
7,12,no,no,500,70,18,10
12,11,no,no,846,104,8,16
9,12,no,no,577,87,11,12
10,12,no,no,400,110,6,16
8,12,no,no,741,87,17,11
12,12,no,no,350,100,5,14
12,14,no,no,438,91,8,12
12,12,no,no,751,109,8,16
18,14,no,no,577,112,6,18
12,12,no,no,404,106,8,16
12,12,no,no,616,94,12,12
13,6,no,no,385,95,9,12
12,12,no,no,672,89,9,15
7,10,no,no,625,85,10,12
9,12,no,no,500,97,10,10
5,7,no,no,331,83,9,12
10,10,no,no,585,99,10,12
9.94,9,no,yes,300,68,11,11
8,12,no,no,738,107,10,16
9.94,10.25,no,yes,385,74,12,12
3,10.25,no,yes,450,51,10,11
9.94,10.25,no,no,801,100,9,12
6,8,no,yes,375,75,12,9
9.94,6,no,no,361,86,11,10
8,7,no,no,300,96,12,9
9,12,no,no,558,90,10,12
3,5,no,no,486,86,16,12
9.94,10.25,no,no,600,102,8,12
9.94,12,yes,no,534,101,8,12
12,12,no,no,577,116,5,17
9.94,10,yes,yes,250,99,7,14
12,11,no,no,400,107,8,12
12,14,no,no,300,116,10,13
9,11,no,no,416,109,4,15
8,12,no,no,740,76,7,16
5,12,no,yes,273,72,8,15
9.94,10.25,no,yes,632,105,8,14
8,12,no,yes,289,65,3,16
9.94,10.25,no,yes,333,98,9,12
9.94,12,yes,no,306,93,8,12
7,7,no,no,573,108,9,18
9.94,10.25,no,yes,463,74,10,12
7,12,no,no,389,107,16,12
14,12,no,no,1106,110,10,16
9,10,no,no,245,114,2,16
6,6,no,yes,400,72,12,12
12,9,no,no,300,117,9,10
7,9,no,no,409,114,7,12
9.94,10.25,no,no,337,107,2,16
12,10,no,no,523,120,5,13
12,12,no,no,513,97,4,16
8,14,no,no,691,130,11,14
12,12,no,no,425,107,5,16
5,12,no,no,542,100,6,12
9.94,11,yes,no,505,103,7,12
14,13,no,no,419,111,3,16
12,12,no,no,375,114,4,16
8,8,no,no,438,95,9,11
13,12,no,no,635,96,11,16
10,11,no,no,500,105,8,12
10,11,no,no,875,98,14,12
9.94,8,yes,yes,200,62,14,11
9.94,8,no,yes,245,67,12,12
7,10.25,no,yes,808,83,14,12
13,12,no,no,962,97,5,17
13,12,no,no,743,112,4,16
9.94,9,yes,no,450,102,6,12
3,0,no,yes,794,70,15,11
8,8,no,no,462,92,12,14
16,5,no,no,225,90,13,10
9.94,10,no,no,577,83,9,13
2,8,no,yes,200,75,9,10
11,16,no,no,539,95,7,16
12,12,no,no,354,104,6,16
12,15,no,no,250,85,11,11
9,12,no,no,693,114,6,16
8,12,no,no,420,82,10,12
16,16,no,no,366,65,15,12
8,8,no,no,913,113,9,16
9.94,9,yes,yes,340,100,11,11
5,5,no,yes,463,68,14,9
9.94,2,no,yes,200,76,12,12
8,8,no,yes,315,101,3,15
5,8,no,yes,625,78,8,16
9.94,10.25,no,yes,254,72,12,12
9.94,10.25,no,no,450,75,12,9
9.94,12,no,no,450,101,11,12
7,7,no,no,263,100,9,12
5,12,no,no,432,105,7,14
16,16,no,yes,513,82,8,16
9.94,11,yes,yes,385,79,4,16
6,8,no,no,500,102,8,13
9.94,7,yes,yes,470,77,6,12
11,10.25,no,no,500,109,6,12
9.94,10.25,no,no,713,107,13,12
